student,question,qDetail,answer
5,11e,Talk with others about ways to protect the environment.,1
5,11f,Cooperate more with my classmates.,1
5,11g,Work harder in school.,1
5,11h,Pay more attention in class.,1
5,12a,I want to visit this place again.,0
5,12b,Knowing this place exists makes me feel good.,0
5,12c,I care about this place.,0
5,13,Are you a girl or a boy?,Girl
5,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
6,1a,Your school’s name ,Van Sickle Academy
6,1b,Your grade level,6
6,2,How would you rate this field trip on a scale from 0 to 10? ,8
6,3a,Write three words or short phrases below that best describe how the program made you feel.,wonderful
6,3b,Write three words or short phrases below that best describe how the program made you feel.,extraordinary
6,3c,Write three words or short phrases below that best describe how the program made you feel.,beautiful
6,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
6,4b,"If yes, what will you do?",take care of birds
6,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",6
6,6a,I believe in myself.,6
6,6b,I feel it is important to take good care of the environment.,6
6,6c,"Humans are a part of nature, not separate from it.",6
6,6d,I have the power to protect the environment.,6
6,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
6,6f,I can make a difference in my community.,6
6,7a,How different parts of the environment interact with each other.,6
6,7b,How people can change the environment.,6
6,7c,How changes in the environment can impact my life.,7
6,7d,How my actions affect the environment.,9
6,8a,Science.,7
6,8b,How to research things I am curious about.,7
6,8c,Learning about new subjects in school.,6
6,8d,Learning more about nature.,6
6,9a,Solving problems,5
6,9b,Using science to answer a question,5
6,9c,Listening to other people’s points of view,5
6,9d,Knowing how to do research,6
6,10a,Taught me something that will be useful to me in my future.,7
6,10b,Made me curious about something.,6
6,10c,Really made me think.,7
6,10d,Made me realize something I never imagined before.,7
6,10e,Made me think differently about the choices I make in my life.,7
6,11a,Help to protect the environment.,5
6,11b,Spend more time outside.,4
6,11c,Make a positive difference in my community.,5
6,11d,Listen more to other people's points of view.,3
6,11e,Talk with others about ways to protect the environment.,7
6,11f,Cooperate more with my classmates.,5
6,11g,Work harder in school.,5
6,11h,Pay more attention in class.,5
6,12a,I want to visit this place again.,7
6,12b,Knowing this place exists makes me feel good.,6
6,12c,I care about this place.,6
6,13,Are you a girl or a boy?,Boy
6,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
7,1a,Your school’s name ,Van Sickle Academy
7,1b,Your grade level,7
7,2,How would you rate this field trip on a scale from 0 to 10? ,7
7,3a,Write three words or short phrases below that best describe how the program made you feel.,fun
7,3b,Write three words or short phrases below that best describe how the program made you feel.,educananal
7,3c,Write three words or short phrases below that best describe how the program made you feel.,good
7,4a,"As a result of this field trip, do you intend to do anything differently in your life",clean up trash
7,4b,"If yes, what will you do?",10
7,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
7,6a,I believe in myself.,10
7,6b,I feel it is important to take good care of the environment.,10
7,6c,"Humans are a part of nature, not separate from it.",10
7,6d,I have the power to protect the environment.,10
7,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
7,6f,I can make a difference in my community.,10
7,7a,How different parts of the environment interact with each other.,10
7,7b,How people can change the environment.,10
7,7c,How changes in the environment can impact my life.,10
7,7d,How my actions affect the environment.,10
7,8a,Science.,10
7,8b,How to research things I am curious about.,10
7,8c,Learning about new subjects in school.,10
7,8d,Learning more about nature.,10
7,9a,Solving problems,10
7,9b,Using science to answer a question,10
7,9c,Listening to other people’s points of view,10
7,9d,Knowing how to do research,10
7,10a,Taught me something that will be useful to me in my future.,10
7,10b,Made me curious about something.,10
7,10c,Really made me think.,10
7,10d,Made me realize something I never imagined before.,10
7,10e,Made me think differently about the choices I make in my life.,10
7,11a,Help to protect the environment.,10
7,11b,Spend more time outside.,10
7,11c,Make a positive difference in my community.,10
7,11d,Listen more to other people's points of view.,10
7,11e,Talk with others about ways to protect the environment.,10
7,11f,Cooperate more with my classmates.,10
7,11g,Work harder in school.,10
7,11h,Pay more attention in class.,10
7,12a,I want to visit this place again.,10
7,12b,Knowing this place exists makes me feel good.,10
7,12c,I care about this place.,10
7,13,Are you a girl or a boy?,Girl
7,14,Which of the following best describes your racial or ethnic background?,Hispanic
8,1a,Your school’s name ,Van Sickle Academy
8,1b,Your grade level,6
8,2,How would you rate this field trip on a scale from 0 to 10? ,10
8,3a,Write three words or short phrases below that best describe how the program made you feel.,happy
8,3b,Write three words or short phrases below that best describe how the program made you feel.,excited
8,3c,Write three words or short phrases below that best describe how the program made you feel.,nervous
8,4a,"As a result of this field trip, do you intend to do anything differently in your life",NA
8,4b,"If yes, what will you do?",NA
8,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",10
8,6a,I believe in myself.,10
8,6b,I feel it is important to take good care of the environment.,10
8,6c,"Humans are a part of nature, not separate from it.",10
8,6d,I have the power to protect the environment.,10
8,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
8,6f,I can make a difference in my community.,10
8,7a,How different parts of the environment interact with each other.,10
8,7b,How people can change the environment.,10
8,7c,How changes in the environment can impact my life.,10
8,7d,How my actions affect the environment.,10
8,8a,Science.,6
8,8b,How to research things I am curious about.,10
8,8c,Learning about new subjects in school.,10
8,8d,Learning more about nature.,10
8,9a,Solving problems,10
8,9b,Using science to answer a question,10
8,9c,Listening to other people’s points of view,10
8,9d,Knowing how to do research,10
8,10a,Taught me something that will be useful to me in my future.,10
8,10b,Made me curious about something.,10
8,10c,Really made me think.,10
8,10d,Made me realize something I never imagined before.,10
8,10e,Made me think differently about the choices I make in my life.,10
8,11a,Help to protect the environment.,10
8,11b,Spend more time outside.,10
8,11c,Make a positive difference in my community.,10
8,11d,Listen more to other people's points of view.,10
8,11e,Talk with others about ways to protect the environment.,10
8,11f,Cooperate more with my classmates.,10
8,11g,Work harder in school.,10
8,11h,Pay more attention in class.,10
8,12a,I want to visit this place again.,10
8,12b,Knowing this place exists makes me feel good.,10
8,12c,I care about this place.,10
8,13,Are you a girl or a boy?,Girl
8,14,Which of the following best describes your racial or ethnic background?,Hispanic
9,1a,Your school’s name ,Van Sickle Academy
9,1b,Your grade level,6
9,2,How would you rate this field trip on a scale from 0 to 10? ,0
9,3a,Write three words or short phrases below that best describe how the program made you feel.,bored
9,3b,Write three words or short phrases below that best describe how the program made you feel.,tired
9,3c,Write three words or short phrases below that best describe how the program made you feel.,hungry
9,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
9,4b,"If yes, what will you do?",NA
9,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",1
9,6a,I believe in myself.,10
9,6b,I feel it is important to take good care of the environment.,3
9,6c,"Humans are a part of nature, not separate from it.",1
9,6d,I have the power to protect the environment.,1
9,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
9,6f,I can make a difference in my community.,2
9,7a,How different parts of the environment interact with each other.,2
9,7b,How people can change the environment.,1
9,7c,How changes in the environment can impact my life.,2
9,7d,How my actions affect the environment.,1
9,8a,Science.,1
9,8b,How to research things I am curious about.,1
9,8c,Learning about new subjects in school.,1
9,8d,Learning more about nature.,1
9,9a,Solving problems,1
9,9b,Using science to answer a question,1
9,9c,Listening to other people’s points of view,1
9,9d,Knowing how to do research,1
9,10a,Taught me something that will be useful to me in my future.,0
9,10b,Made me curious about something.,0
9,10c,Really made me think.,0
9,10d,Made me realize something I never imagined before.,0
9,10e,Made me think differently about the choices I make in my life.,0
9,11a,Help to protect the environment.,0
9,11b,Spend more time outside.,0
9,11c,Make a positive difference in my community.,0
9,11d,Listen more to other people's points of view.,0
9,11e,Talk with others about ways to protect the environment.,0
9,11f,Cooperate more with my classmates.,0
9,11g,Work harder in school.,0
9,11h,Pay more attention in class.,0
9,12a,I want to visit this place again.,0
9,12b,Knowing this place exists makes me feel good.,0
9,12c,I care about this place.,0
9,13,Are you a girl or a boy?,Boy
9,14,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
10,1a,Your school’s name ,Van Sickle Academy
10,1b,Your grade level,6
10,2,How would you rate this field trip on a scale from 0 to 10? ,9
10,3a,Write three words or short phrases below that best describe how the program made you feel.,smarter
10,3b,Write three words or short phrases below that best describe how the program made you feel.,hot
10,3c,Write three words or short phrases below that best describe how the program made you feel.,tired
10,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
10,4b,"If yes, what will you do?",clean up trash and help
10,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",7
10,6a,I believe in myself.,10
10,6b,I feel it is important to take good care of the environment.,10
10,6c,"Humans are a part of nature, not separate from it.",10
10,6d,I have the power to protect the environment.,10
10,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
10,6f,I can make a difference in my community.,10
10,7a,How different parts of the environment interact with each other.,10
10,7b,How people can change the environment.,10
10,7c,How changes in the environment can impact my life.,10
10,7d,How my actions affect the environment.,5
10,8a,Science.,5
10,8b,How to research things I am curious about.,4
10,8c,Learning about new subjects in school.,8
10,8d,Learning more about nature.,10
10,9a,Solving problems,10
10,9b,Using science to answer a question,3
10,9c,Listening to other people’s points of view,10
10,9d,Knowing how to do research,10
10,10a,Taught me something that will be useful to me in my future.,10
10,10b,Made me curious about something.,10
10,10c,Really made me think.,10
10,10d,Made me realize something I never imagined before.,10
10,10e,Made me think differently about the choices I make in my life.,10
10,11a,Help to protect the environment.,10
10,11b,Spend more time outside.,10
10,11c,Make a positive difference in my community.,10
10,11d,Listen more to other people's points of view.,10
10,11e,Talk with others about ways to protect the environment.,10
10,11f,Cooperate more with my classmates.,10
10,11g,Work harder in school.,10
10,11h,Pay more attention in class.,10
10,12a,I want to visit this place again.,10
10,12b,Knowing this place exists makes me feel good.,10
10,12c,I care about this place.,10
10,13,Are you a girl or a boy?,Girl
10,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
11,1a,Your school’s name ,Van Sickle Academy
11,1b,Your grade level,NA
11,2,How would you rate this field trip on a scale from 0 to 10? ,0
11,3a,Write three words or short phrases below that best describe how the program made you feel.,bored
11,3b,Write three words or short phrases below that best describe how the program made you feel.,tired
11,3c,Write three words or short phrases below that best describe how the program made you feel.,hungry
11,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
11,4b,"If yes, what will you do?",NA
11,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",3
11,6a,I believe in myself.,5
11,6b,I feel it is important to take good care of the environment.,4
11,6c,"Humans are a part of nature, not separate from it.",5
11,6d,I have the power to protect the environment.,2
11,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
11,6f,I can make a difference in my community.,2
11,7a,How different parts of the environment interact with each other.,5
11,7b,How people can change the environment.,5
11,7c,How changes in the environment can impact my life.,5
11,7d,How my actions affect the environment.,2
11,8a,Science.,0
11,8b,How to research things I am curious about.,0
11,8c,Learning about new subjects in school.,0
11,8d,Learning more about nature.,5
11,9a,Solving problems,3
11,9b,Using science to answer a question,1
11,9c,Listening to other people’s points of view,3
11,9d,Knowing how to do research,5
11,10a,Taught me something that will be useful to me in my future.,0
11,10b,Made me curious about something.,0
11,10c,Really made me think.,0
11,10d,Made me realize something I never imagined before.,0
11,10e,Made me think differently about the choices I make in my life.,0
11,11a,Help to protect the environment.,2
11,11b,Spend more time outside.,2
11,11c,Make a positive difference in my community.,0
11,11d,Listen more to other people's points of view.,5
11,11e,Talk with others about ways to protect the environment.,0
11,11f,Cooperate more with my classmates.,1
11,11g,Work harder in school.,8
11,11h,Pay more attention in class.,10
11,12a,I want to visit this place again.,0
11,12b,Knowing this place exists makes me feel good.,0
11,12c,I care about this place.,0
11,13,Are you a girl or a boy?,Girl
11,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
12,1a,Your school’s name ,Van Sickle Academy
12,1b,Your grade level,6
12,2,How would you rate this field trip on a scale from 0 to 10? ,7
12,3a,Write three words or short phrases below that best describe how the program made you feel.,nice
12,3b,Write three words or short phrases below that best describe how the program made you feel.,bored sometimes
12,3c,Write three words or short phrases below that best describe how the program made you feel.,NA
12,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
12,4b,"If yes, what will you do?",NA
12,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",8
12,6a,I believe in myself.,6
12,6b,I feel it is important to take good care of the environment.,10
12,6c,"Humans are a part of nature, not separate from it.",10
12,6d,I have the power to protect the environment.,0
12,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
12,6f,I can make a difference in my community.,1
12,7a,How different parts of the environment interact with each other.,8
12,7b,How people can change the environment.,9
12,7c,How changes in the environment can impact my life.,10
12,7d,How my actions affect the environment.,8
12,8a,Science.,10
12,8b,How to research things I am curious about.,10
12,8c,Learning about new subjects in school.,8
12,8d,Learning more about nature.,9
12,9a,Solving problems,8
12,9b,Using science to answer a question,9
12,9c,Listening to other people’s points of view,7
12,9d,Knowing how to do research,9
12,10a,Taught me something that will be useful to me in my future.,5
12,10b,Made me curious about something.,5
12,10c,Really made me think.,5
12,10d,Made me realize something I never imagined before.,5
12,10e,Made me think differently about the choices I make in my life.,5
12,11a,Help to protect the environment.,7
12,11b,Spend more time outside.,10
12,11c,Make a positive difference in my community.,4
12,11d,Listen more to other people's points of view.,6
12,11e,Talk with others about ways to protect the environment.,5
12,11f,Cooperate more with my classmates.,7
12,11g,Work harder in school.,9
12,11h,Pay more attention in class.,10
12,12a,I want to visit this place again.,3
12,12b,Knowing this place exists makes me feel good.,8
12,12c,I care about this place.,9
12,13,Are you a girl or a boy?,Boy
12,14,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
13,1a,Your school’s name ,Van Sickle Academy
13,1b,Your grade level,7
13,2,How would you rate this field trip on a scale from 0 to 10? ,6
13,3a,Write three words or short phrases below that best describe how the program made you feel.,basketball
13,3b,Write three words or short phrases below that best describe how the program made you feel.,mincraft
13,3c,Write three words or short phrases below that best describe how the program made you feel.,birds
13,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
13,4b,"If yes, what will you do?",play fortnite
13,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",5
13,6a,I believe in myself.,5
13,6b,I feel it is important to take good care of the environment.,6
13,6c,"Humans are a part of nature, not separate from it.",6
13,6d,I have the power to protect the environment.,7
13,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
13,6f,I can make a difference in my community.,7
13,7a,How different parts of the environment interact with each other.,6
13,7b,How people can change the environment.,7
13,7c,How changes in the environment can impact my life.,7
13,7d,How my actions affect the environment.,8
13,8a,Science.,4
13,8b,How to research things I am curious about.,5
13,8c,Learning about new subjects in school.,6
13,8d,Learning more about nature.,5
13,9a,Solving problems,7
13,9b,Using science to answer a question,7
13,9c,Listening to other people’s points of view,4
13,9d,Knowing how to do research,8
13,10a,Taught me something that will be useful to me in my future.,8
13,10b,Made me curious about something.,10
13,10c,Really made me think.,10
13,10d,Made me realize something I never imagined before.,6
13,10e,Made me think differently about the choices I make in my life.,9
13,11a,Help to protect the environment.,8
13,11b,Spend more time outside.,9
13,11c,Make a positive difference in my community.,7
13,11d,Listen more to other people's points of view.,8
13,11e,Talk with others about ways to protect the environment.,9
13,11f,Cooperate more with my classmates.,5
13,11g,Work harder in school.,10
13,11h,Pay more attention in class.,5
13,12a,I want to visit this place again.,8
13,12b,Knowing this place exists makes me feel good.,7
13,12c,I care about this place.,6
13,13,Are you a girl or a boy?,Rather not say
13,14,Which of the following best describes your racial or ethnic background?,Other
14,1a,Your school’s name ,Van Sickle Academy
14,1b,Your grade level,7
14,2,How would you rate this field trip on a scale from 0 to 10? ,5
14,3a,Write three words or short phrases below that best describe how the program made you feel.,free
14,3b,Write three words or short phrases below that best describe how the program made you feel.,nature
14,3c,Write three words or short phrases below that best describe how the program made you feel.,wilderness
14,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
14,4b,"If yes, what will you do?",NA
14,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",7
14,6a,I believe in myself.,8
14,6b,I feel it is important to take good care of the environment.,8
14,6c,"Humans are a part of nature, not separate from it.",8
14,6d,I have the power to protect the environment.,8
14,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
14,6f,I can make a difference in my community.,8
14,7a,How different parts of the environment interact with each other.,8
14,7b,How people can change the environment.,10
14,7c,How changes in the environment can impact my life.,9
14,7d,How my actions affect the environment.,6
14,8a,Science.,10
14,8b,How to research things I am curious about.,8
14,8c,Learning about new subjects in school.,7
14,8d,Learning more about nature.,8
14,9a,Solving problems,5
14,9b,Using science to answer a question,8
14,9c,Listening to other people’s points of view,6
14,9d,Knowing how to do research,NA
14,10a,Taught me something that will be useful to me in my future.,7
14,10b,Made me curious about something.,8
14,10c,Really made me think.,4
14,10d,Made me realize something I never imagined before.,4
14,10e,Made me think differently about the choices I make in my life.,4
14,11a,Help to protect the environment.,7
14,11b,Spend more time outside.,8
14,11c,Make a positive difference in my community.,5
14,11d,Listen more to other people's points of view.,5
14,11e,Talk with others about ways to protect the environment.,5
14,11f,Cooperate more with my classmates.,6
14,11g,Work harder in school.,5
14,11h,Pay more attention in class.,5
14,12a,I want to visit this place again.,7
14,12b,Knowing this place exists makes me feel good.,7
14,12c,I care about this place.,6
14,13,Are you a girl or a boy?,Boy
14,14,Which of the following best describes your racial or ethnic background?,Hispanic
15,1a,Your school’s name ,Van Sickle Academy
15,1b,Your grade level,6
15,2,How would you rate this field trip on a scale from 0 to 10? ,1
15,3a,Write three words or short phrases below that best describe how the program made you feel.,boring
15,3b,Write three words or short phrases below that best describe how the program made you feel.,sleepy
15,3c,Write three words or short phrases below that best describe how the program made you feel.,tired
15,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
15,4b,"If yes, what will you do?",NA
15,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",1
15,6a,I believe in myself.,5
15,6b,I feel it is important to take good care of the environment.,6
15,6c,"Humans are a part of nature, not separate from it.",8
15,6d,I have the power to protect the environment.,5
15,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
15,6f,I can make a difference in my community.,8
15,7a,How different parts of the environment interact with each other.,8
15,7b,How people can change the environment.,8
15,7c,How changes in the environment can impact my life.,8
15,7d,How my actions affect the environment.,8
15,8a,Science.,7
15,8b,How to research things I am curious about.,5
15,8c,Learning about new subjects in school.,9
15,8d,Learning more about nature.,8
15,9a,Solving problems,5
15,9b,Using science to answer a question,3
15,9c,Listening to other people’s points of view,4
15,9d,Knowing how to do research,5
15,10a,Taught me something that will be useful to me in my future.,7
15,10b,Made me curious about something.,5
15,10c,Really made me think.,4
15,10d,Made me realize something I never imagined before.,8
15,10e,Made me think differently about the choices I make in my life.,3
15,11a,Help to protect the environment.,5
15,11b,Spend more time outside.,5
15,11c,Make a positive difference in my community.,NA
15,11d,Listen more to other people's points of view.,6
15,11e,Talk with others about ways to protect the environment.,NA
15,11f,Cooperate more with my classmates.,5
15,11g,Work harder in school.,6
15,11h,Pay more attention in class.,9
