student,question,qDetail,answer
3,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
3,2f,I can make a difference in my community.,10
3,3a,Science.,5
3,3b,How to research things I am curious about.,10
3,3c,Learning about new subjects in school.,10
3,3d,Learning more about nature.,10
3,4a,Solving problems,5
3,4b,Using science to answer a question,6
3,4c,Listening to other people’s points of view,7
3,4d,Knowing how to do research,9
3,5a,Help to protect the environment.,10
3,5b,Spend more time outside.,10
3,5c,Make a positive difference in my community.,10
3,5d,Listen more to other people's points of view.,5
3,5e,Talk with others about ways to protect the environment.,10
3,5f,Cooperate more with my classmates.,5
3,5g,Work harder in school.,9
3,5h,Pay more attention in class.,10
3,6,Are you a girl or a boy?,Girl
3,7,Which of the following best describes your racial or ethnic background?,Hispanic
4,1a,Your school’s name ,Springfield Public Day Middle School
4,1b,Your grade level,8
4,2a,I believe in myself.,10
4,2b,I feel it is important to take good care of the environment.,8
4,2c,"Humans are a part of nature, not separate from it.",10
4,2d,I have the power to protect the environment.,7
4,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
4,2f,I can make a difference in my community.,8
4,3a,Science.,10
4,3b,How to research things I am curious about.,10
4,3c,Learning about new subjects in school.,8
4,3d,Learning more about nature.,6
4,4a,Solving problems,10
4,4b,Using science to answer a question,7
4,4c,Listening to other people’s points of view,9
4,4d,Knowing how to do research,10
4,5a,Help to protect the environment.,6
4,5b,Spend more time outside.,10
4,5c,Make a positive difference in my community.,3
4,5d,Listen more to other people's points of view.,6
4,5e,Talk with others about ways to protect the environment.,2
4,5f,Cooperate more with my classmates.,10
4,5g,Work harder in school.,10
4,5h,Pay more attention in class.,10
4,6,Are you a girl or a boy?,Boy
4,7,Which of the following best describes your racial or ethnic background?,Hispanic
5,1a,Your school’s name ,Springfield Public Day Middle School
5,1b,Your grade level,6
5,2a,I believe in myself.,10
5,2b,I feel it is important to take good care of the environment.,10
5,2c,"Humans are a part of nature, not separate from it.",10
5,2d,I have the power to protect the environment.,10
5,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
5,2f,I can make a difference in my community.,10
5,3a,Science.,5
5,3b,How to research things I am curious about.,10
5,3c,Learning about new subjects in school.,7
5,3d,Learning more about nature.,10
5,4a,Solving problems,10
5,4b,Using science to answer a question,10
5,4c,Listening to other people’s points of view,10
5,4d,Knowing how to do research,10
5,5a,Help to protect the environment.,10
5,5b,Spend more time outside.,10
5,5c,Make a positive difference in my community.,10
5,5d,Listen more to other people's points of view.,10
5,5e,Talk with others about ways to protect the environment.,10
5,5f,Cooperate more with my classmates.,10
5,5g,Work harder in school.,10
5,5h,Pay more attention in class.,10
5,6,Are you a girl or a boy?,Boy
5,7,Which of the following best describes your racial or ethnic background?,Hispanic
6,1a,Your school’s name ,Springfield Public Day Middle School
6,1b,Your grade level,8
6,2a,I believe in myself.,10
6,2b,I feel it is important to take good care of the environment.,10
6,2c,"Humans are a part of nature, not separate from it.",10
6,2d,I have the power to protect the environment.,10
6,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
6,2f,I can make a difference in my community.,10
6,3a,Science.,10
6,3b,How to research things I am curious about.,4
6,3c,Learning about new subjects in school.,7
6,3d,Learning more about nature.,9
6,4a,Solving problems,3
6,4b,Using science to answer a question,5
6,4c,Listening to other people’s points of view,7
6,4d,Knowing how to do research,6
6,5a,Help to protect the environment.,5
6,5b,Spend more time outside.,9
6,5c,Make a positive difference in my community.,3
6,5d,Listen more to other people's points of view.,4
6,5e,Talk with others about ways to protect the environment.,9
6,5f,Cooperate more with my classmates.,5
6,5g,Work harder in school.,6
6,5h,Pay more attention in class.,8
6,6,Are you a girl or a boy?,Boy
6,7,Which of the following best describes your racial or ethnic background?,Hispanic
7,1a,Your school’s name ,Springfield Public Day Middle School
7,1b,Your grade level,6
7,2a,I believe in myself.,10
7,2b,I feel it is important to take good care of the environment.,10
7,2c,"Humans are a part of nature, not separate from it.",5
7,2d,I have the power to protect the environment.,3
7,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
7,2f,I can make a difference in my community.,8
7,3a,Science.,10
7,3b,How to research things I am curious about.,10
7,3c,Learning about new subjects in school.,10
7,3d,Learning more about nature.,6
7,4a,Solving problems,10
7,4b,Using science to answer a question,10
7,4c,Listening to other people’s points of view,6
7,4d,Knowing how to do research,10
7,5a,Help to protect the environment.,10
7,5b,Spend more time outside.,10
7,5c,Make a positive difference in my community.,10
7,5d,Listen more to other people's points of view.,6
7,5e,Talk with others about ways to protect the environment.,10
7,5f,Cooperate more with my classmates.,10
7,5g,Work harder in school.,10
7,5h,Pay more attention in class.,8
7,6,Are you a girl or a boy?,Boy
7,7,Which of the following best describes your racial or ethnic background?,Other: African American
8,1a,Your school’s name ,Springfield Public Day Middle School
8,1b,Your grade level,6
8,2a,I believe in myself.,6
8,2b,I feel it is important to take good care of the environment.,10
8,2c,"Humans are a part of nature, not separate from it.",7
8,2d,I have the power to protect the environment.,10
8,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
8,2f,I can make a difference in my community.,10
8,3a,Science.,8
8,3b,How to research things I am curious about.,10
8,3c,Learning about new subjects in school.,10
8,3d,Learning more about nature.,10
8,4a,Solving problems,5
8,4b,Using science to answer a question,10
8,4c,Listening to other people’s points of view,4
8,4d,Knowing how to do research,7
8,5a,Help to protect the environment.,9
8,5b,Spend more time outside.,3
8,5c,Make a positive difference in my community.,8
8,5d,Listen more to other people's points of view.,4
8,5e,Talk with others about ways to protect the environment.,10
8,5f,Cooperate more with my classmates.,9
8,5g,Work harder in school.,4
8,5h,Pay more attention in class.,7
8,6,Are you a girl or a boy?,Girl
8,7,Which of the following best describes your racial or ethnic background?,Hispanic
9,1a,Your school’s name ,John J. Duggan Academy
9,1b,Your grade level,8
9,2a,I believe in myself.,9
9,2b,I feel it is important to take good care of the environment.,10
9,2c,"Humans are a part of nature, not separate from it.",9
9,2d,I have the power to protect the environment.,7
9,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
9,2f,I can make a difference in my community.,4
9,3a,Science.,5
9,3b,How to research things I am curious about.,8
9,3c,Learning about new subjects in school.,6
9,3d,Learning more about nature.,4
9,4a,Solving problems,7
9,4b,Using science to answer a question,6
9,4c,Listening to other people’s points of view,7
9,4d,Knowing how to do research,7
9,5a,Help to protect the environment.,5
9,5b,Spend more time outside.,7
9,5c,Make a positive difference in my community.,5
9,5d,Listen more to other people's points of view.,6
9,5e,Talk with others about ways to protect the environment.,6
9,5f,Cooperate more with my classmates.,7
9,5g,Work harder in school.,8
9,5h,Pay more attention in class.,10
9,6,Are you a girl or a boy?,Girl
9,7,Which of the following best describes your racial or ethnic background?,Hispanic
10,1a,Your school’s name ,John J. Duggan Academy
10,1b,Your grade level,8
10,2a,I believe in myself.,9
10,2b,I feel it is important to take good care of the environment.,10
10,2c,"Humans are a part of nature, not separate from it.",10
10,2d,I have the power to protect the environment.,10
10,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
10,2f,I can make a difference in my community.,10
10,3a,Science.,10
10,3b,How to research things I am curious about.,10
10,3c,Learning about new subjects in school.,10
10,3d,Learning more about nature.,10
10,4a,Solving problems,8
10,4b,Using science to answer a question,6
10,4c,Listening to other people’s points of view,10
10,4d,Knowing how to do research,10
10,5a,Help to protect the environment.,6
10,5b,Spend more time outside.,6
10,5c,Make a positive difference in my community.,10
10,5d,Listen more to other people's points of view.,10
10,5e,Talk with others about ways to protect the environment.,10
10,5f,Cooperate more with my classmates.,8
10,5g,Work harder in school.,10
10,5h,Pay more attention in class.,10
10,6,Are you a girl or a boy?,Boy
10,7,Which of the following best describes your racial or ethnic background?,Hispanic
11,1a,Your school’s name ,John J. Duggan Academy
11,1b,Your grade level,8
11,2a,I believe in myself.,8
11,2b,I feel it is important to take good care of the environment.,8
11,2c,"Humans are a part of nature, not separate from it.",8
11,2d,I have the power to protect the environment.,7
11,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,na
11,2f,I can make a difference in my community.,9
11,3a,Science.,6
11,3b,How to research things I am curious about.,7
11,3c,Learning about new subjects in school.,6
11,3d,Learning more about nature.,7
11,4a,Solving problems,7
11,4b,Using science to answer a question,5
11,4c,Listening to other people’s points of view,8
11,4d,Knowing how to do research,7
11,5a,Help to protect the environment.,7
11,5b,Spend more time outside.,7
11,5c,Make a positive difference in my community.,6
11,5d,Listen more to other people's points of view.,7
11,5e,Talk with others about ways to protect the environment.,5
11,5f,Cooperate more with my classmates.,7
11,5g,Work harder in school.,8
11,5h,Pay more attention in class.,7
11,6,Are you a girl or a boy?,Girl
11,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
12,1a,Your school’s name ,John J. Duggan Academy
12,1b,Your grade level,8
12,2a,I believe in myself.,9
12,2b,I feel it is important to take good care of the environment.,10
12,2c,"Humans are a part of nature, not separate from it.",10
12,2d,I have the power to protect the environment.,10
12,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,8
12,2f,I can make a difference in my community.,7
12,3a,Science.,10
12,3b,How to research things I am curious about.,10
12,3c,Learning about new subjects in school.,10
12,3d,Learning more about nature.,10
12,4a,Solving problems,10
12,4b,Using science to answer a question,8
12,4c,Listening to other people’s points of view,10
12,4d,Knowing how to do research,9
12,5a,Help to protect the environment.,6
12,5b,Spend more time outside.,10
12,5c,Make a positive difference in my community.,4
12,5d,Listen more to other people's points of view.,10
12,5e,Talk with others about ways to protect the environment.,1
12,5f,Cooperate more with my classmates.,10
12,5g,Work harder in school.,10
12,5h,Pay more attention in class.,10
12,6,Are you a girl or a boy?,Boy
12,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
13,1a,Your school’s name ,John J. Duggan Academy
13,1b,Your grade level,8
13,2a,I believe in myself.,5
13,2b,I feel it is important to take good care of the environment.,9
13,2c,"Humans are a part of nature, not separate from it.",10
13,2d,I have the power to protect the environment.,6
13,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
13,2f,I can make a difference in my community.,5
13,3a,Science.,10
13,3b,How to research things I am curious about.,na
13,3c,Learning about new subjects in school.,8
13,3d,Learning more about nature.,8
13,4a,Solving problems,5
13,4b,Using science to answer a question,9
13,4c,Listening to other people’s points of view,9
13,4d,Knowing how to do research,7
13,5a,Help to protect the environment.,7
13,5b,Spend more time outside.,4
13,5c,Make a positive difference in my community.,9
13,5d,Listen more to other people's points of view.,10
13,5e,Talk with others about ways to protect the environment.,6
13,5f,Cooperate more with my classmates.,6
13,5g,Work harder in school.,6
13,5h,Pay more attention in class.,5
13,6,Are you a girl or a boy?,Rather not say
13,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
14,1a,Your school’s name ,John J. Duggan Academy
14,1b,Your grade level,8
14,2a,I believe in myself.,10
14,2b,I feel it is important to take good care of the environment.,10
14,2c,"Humans are a part of nature, not separate from it.",9
14,2d,I have the power to protect the environment.,10
14,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
14,2f,I can make a difference in my community.,10
14,3a,Science.,9
14,3b,How to research things I am curious about.,10
14,3c,Learning about new subjects in school.,10
14,3d,Learning more about nature.,10
14,4a,Solving problems,5
14,4b,Using science to answer a question,8
14,4c,Listening to other people’s points of view,9
14,4d,Knowing how to do research,7
14,5a,Help to protect the environment.,9
14,5b,Spend more time outside.,10
14,5c,Make a positive difference in my community.,10
14,5d,Listen more to other people's points of view.,9
14,5e,Talk with others about ways to protect the environment.,10
14,5f,Cooperate more with my classmates.,10
14,5g,Work harder in school.,10
14,5h,Pay more attention in class.,10
14,6,Are you a girl or a boy?,Girl
14,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
15,1a,Your school’s name ,John J. Duggan Academy
15,1b,Your grade level,8
15,2a,I believe in myself.,5
15,2b,I feel it is important to take good care of the environment.,8
15,2c,"Humans are a part of nature, not separate from it.",7
15,2d,I have the power to protect the environment.,5
15,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
15,2f,I can make a difference in my community.,3
15,3a,Science.,8
15,3b,How to research things I am curious about.,8
15,3c,Learning about new subjects in school.,8
15,3d,Learning more about nature.,7
15,4a,Solving problems,5
15,4b,Using science to answer a question,4
15,4c,Listening to other people’s points of view,10
15,4d,Knowing how to do research,6
15,5a,Help to protect the environment.,6
15,5b,Spend more time outside.,7
15,5c,Make a positive difference in my community.,5
15,5d,Listen more to other people's points of view.,8
15,5e,Talk with others about ways to protect the environment.,7
15,5f,Cooperate more with my classmates.,6
15,5g,Work harder in school.,8
15,5h,Pay more attention in class.,9
15,6,Are you a girl or a boy?,Girl
15,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
16,1a,Your school’s name ,John J. Duggan Academy
16,1b,Your grade level,8
16,2a,I believe in myself.,9
16,2b,I feel it is important to take good care of the environment.,9
16,2c,"Humans are a part of nature, not separate from it.",9
16,2d,I have the power to protect the environment.,10
16,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
16,2f,I can make a difference in my community.,9
16,3a,Science.,7
16,3b,How to research things I am curious about.,10
16,3c,Learning about new subjects in school.,8
16,3d,Learning more about nature.,9
16,4a,Solving problems,9
16,4b,Using science to answer a question,7
16,4c,Listening to other people’s points of view,10
16,4d,Knowing how to do research,10
16,5a,Help to protect the environment.,8
16,5b,Spend more time outside.,na
16,5c,Make a positive difference in my community.,na
16,5d,Listen more to other people's points of view.,na
16,5e,Talk with others about ways to protect the environment.,na
16,5f,Cooperate more with my classmates.,na
16,5g,Work harder in school.,na
16,5h,Pay more attention in class.,na
16,6,Are you a girl or a boy?,Boy
16,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
17,1a,Your school’s name ,John J. Duggan Academy
17,1b,Your grade level,8
17,2a,I believe in myself.,8
17,2b,I feel it is important to take good care of the environment.,9
17,2c,"Humans are a part of nature, not separate from it.",10
17,2d,I have the power to protect the environment.,10
17,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
17,2f,I can make a difference in my community.,7
17,3a,Science.,9
17,3b,How to research things I am curious about.,7
17,3c,Learning about new subjects in school.,2
17,3d,Learning more about nature.,5
17,4a,Solving problems,8
17,4b,Using science to answer a question,7
17,4c,Listening to other people’s points of view,8
17,4d,Knowing how to do research,9
17,5a,Help to protect the environment.,5
17,5b,Spend more time outside.,0
17,5c,Make a positive difference in my community.,6
17,5d,Listen more to other people's points of view.,8
17,5e,Talk with others about ways to protect the environment.,6
17,5f,Cooperate more with my classmates.,9
17,5g,Work harder in school.,5
17,5h,Pay more attention in class.,6
17,6,Are you a girl or a boy?,Boy
17,7,Which of the following best describes your racial or ethnic background?,Other: I don't know fully
18,1a,Your school’s name ,John J. Duggan Academy
18,1b,Your grade level,8
18,2a,I believe in myself.,10
18,2b,I feel it is important to take good care of the environment.,8
18,2c,"Humans are a part of nature, not separate from it.",7
18,2d,I have the power to protect the environment.,5
18,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,6
18,2f,I can make a difference in my community.,5
18,3a,Science.,8
18,3b,How to research things I am curious about.,10
18,3c,Learning about new subjects in school.,8
18,3d,Learning more about nature.,5
18,4a,Solving problems,8
18,4b,Using science to answer a question,9
18,4c,Listening to other people’s points of view,7
18,4d,Knowing how to do research,6
18,5a,Help to protect the environment.,6
18,5b,Spend more time outside.,5
18,5c,Make a positive difference in my community.,8
18,5d,Listen more to other people's points of view.,7
18,5e,Talk with others about ways to protect the environment.,8
18,5f,Cooperate more with my classmates.,8
18,5g,Work harder in school.,7
18,5h,Pay more attention in class.,8
18,6,Are you a girl or a boy?,Boy
18,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
19,1a,Your school’s name ,John J. Duggan Academy
19,1b,Your grade level,8
19,2a,I believe in myself.,8
19,2b,I feel it is important to take good care of the environment.,9
19,2c,"Humans are a part of nature, not separate from it.",9
19,2d,I have the power to protect the environment.,na
19,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
19,2f,I can make a difference in my community.,6
19,3a,Science.,7
19,3b,How to research things I am curious about.,10
19,3c,Learning about new subjects in school.,9
19,3d,Learning more about nature.,8
19,4a,Solving problems,8
19,4b,Using science to answer a question,7
19,4c,Listening to other people’s points of view,7
19,4d,Knowing how to do research,9
19,5a,Help to protect the environment.,8
19,5b,Spend more time outside.,9
19,5c,Make a positive difference in my community.,8
19,5d,Listen more to other people's points of view.,7
19,5e,Talk with others about ways to protect the environment.,10
19,5f,Cooperate more with my classmates.,8
19,5g,Work harder in school.,9
19,5h,Pay more attention in class.,9
19,6,Are you a girl or a boy?,Boy
19,7,Which of the following best describes your racial or ethnic background?,Asian
20,1a,Your school’s name ,John J. Duggan Academy
20,1b,Your grade level,8
20,2a,I believe in myself.,10
20,2b,I feel it is important to take good care of the environment.,10
20,2c,"Humans are a part of nature, not separate from it.",10
20,2d,I have the power to protect the environment.,10
20,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
20,2f,I can make a difference in my community.,10
20,3a,Science.,7
20,3b,How to research things I am curious about.,10
20,3c,Learning about new subjects in school.,8
20,3d,Learning more about nature.,9
20,4a,Solving problems,10
20,4b,Using science to answer a question,9
20,4c,Listening to other people’s points of view,10
20,4d,Knowing how to do research,8
20,5a,Help to protect the environment.,10
20,5b,Spend more time outside.,10
20,5c,Make a positive difference in my community.,10
20,5d,Listen more to other people's points of view.,10
20,5e,Talk with others about ways to protect the environment.,10
20,5f,Cooperate more with my classmates.,10
20,5g,Work harder in school.,10
20,5h,Pay more attention in class.,10
20,6,Are you a girl or a boy?,Girl
20,7,Which of the following best describes your racial or ethnic background?,Hispanic
21,1a,Your school’s name ,John J. Duggan Academy
21,1b,Your grade level,8
21,2a,I believe in myself.,6
21,2b,I feel it is important to take good care of the environment.,10
21,2c,"Humans are a part of nature, not separate from it.",4
21,2d,I have the power to protect the environment.,10
21,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
21,2f,I can make a difference in my community.,10
21,3a,Science.,10
21,3b,How to research things I am curious about.,10
21,3c,Learning about new subjects in school.,8
21,3d,Learning more about nature.,8
21,4a,Solving problems,8
21,4b,Using science to answer a question,10
21,4c,Listening to other people’s points of view,9
21,4d,Knowing how to do research,7
21,5a,Help to protect the environment.,6
21,5b,Spend more time outside.,9
21,5c,Make a positive difference in my community.,10
21,5d,Listen more to other people's points of view.,9
21,5e,Talk with others about ways to protect the environment.,7
21,5f,Cooperate more with my classmates.,10
21,5g,Work harder in school.,8
21,5h,Pay more attention in class.,10
21,6,Are you a girl or a boy?,Boy
21,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
22,1a,Your school’s name ,John J. Duggan Academy
22,1b,Your grade level,8
22,2a,I believe in myself.,10
22,2b,I feel it is important to take good care of the environment.,10
22,2c,"Humans are a part of nature, not separate from it.",9
22,2d,I have the power to protect the environment.,8
22,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
22,2f,I can make a difference in my community.,10
22,3a,Science.,8
22,3b,How to research things I am curious about.,9
22,3c,Learning about new subjects in school.,10
22,3d,Learning more about nature.,10
22,4a,Solving problems,9
22,4b,Using science to answer a question,10
22,4c,Listening to other people’s points of view,10
22,4d,Knowing how to do research,9
22,5a,Help to protect the environment.,10
22,5b,Spend more time outside.,10
22,5c,Make a positive difference in my community.,8
22,5d,Listen more to other people's points of view.,9
22,5e,Talk with others about ways to protect the environment.,7
22,5f,Cooperate more with my classmates.,9
22,5g,Work harder in school.,10
22,5h,Pay more attention in class.,10
22,6,Are you a girl or a boy?,Boy
22,7,Which of the following best describes your racial or ethnic background?,Mixed (two or more races)
23,1a,Your school’s name ,John J. Duggan Academy
23,1b,Your grade level,8
23,2a,I believe in myself.,6
23,2b,I feel it is important to take good care of the environment.,10
23,2c,"Humans are a part of nature, not separate from it.",5
23,2d,I have the power to protect the environment.,10
23,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
23,2f,I can make a difference in my community.,10
23,3a,Science.,5
23,3b,How to research things I am curious about.,5
23,3c,Learning about new subjects in school.,7
23,3d,Learning more about nature.,10
23,4a,Solving problems,6
23,4b,Using science to answer a question,5
23,4c,Listening to other people’s points of view,10
23,4d,Knowing how to do research,5
23,5a,Help to protect the environment.,10
23,5b,Spend more time outside.,10
23,5c,Make a positive difference in my community.,10
23,5d,Listen more to other people's points of view.,10
23,5e,Talk with others about ways to protect the environment.,5
23,5f,Cooperate more with my classmates.,7
23,5g,Work harder in school.,10
23,5h,Pay more attention in class.,10
23,6,Are you a girl or a boy?,Girl
23,7,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
24,1a,Your school’s name ,John J. Duggan Academy
24,1b,Your grade level,8
24,2a,I believe in myself.,8
24,2b,I feel it is important to take good care of the environment.,9
24,2c,"Humans are a part of nature, not separate from it.",9
24,2d,I have the power to protect the environment.,9
24,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
24,2f,I can make a difference in my community.,5
24,3a,Science.,7
24,3b,How to research things I am curious about.,na
24,3c,Learning about new subjects in school.,8
24,3d,Learning more about nature.,6
24,4a,Solving problems,9
24,4b,Using science to answer a question,7
24,4c,Listening to other people’s points of view,7
24,4d,Knowing how to do research,9
24,5a,Help to protect the environment.,8
24,5b,Spend more time outside.,9
24,5c,Make a positive difference in my community.,7
24,5d,Listen more to other people's points of view.,7
24,5e,Talk with others about ways to protect the environment.,9
24,5f,Cooperate more with my classmates.,8
24,5g,Work harder in school.,9
24,5h,Pay more attention in class.,9
24,6,Are you a girl or a boy?,Boy
24,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
25,1a,Your school’s name ,John J. Duggan Academy
25,1b,Your grade level,8
25,2a,I believe in myself.,5
25,2b,I feel it is important to take good care of the environment.,10
25,2c,"Humans are a part of nature, not separate from it.",10
25,2d,I have the power to protect the environment.,8
25,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,5
25,2f,I can make a difference in my community.,8
25,3a,Science.,10
25,3b,How to research things I am curious about.,10
25,3c,Learning about new subjects in school.,9
25,3d,Learning more about nature.,10
25,4a,Solving problems,0
25,4b,Using science to answer a question,5
25,4c,Listening to other people’s points of view,10
25,4d,Knowing how to do research,10
25,5a,Help to protect the environment.,10
25,5b,Spend more time outside.,5
25,5c,Make a positive difference in my community.,9
25,5d,Listen more to other people's points of view.,8
25,5e,Talk with others about ways to protect the environment.,6
25,5f,Cooperate more with my classmates.,10
25,5g,Work harder in school.,10
25,5h,Pay more attention in class.,10
25,6,Are you a girl or a boy?,Girl
25,7,Which of the following best describes your racial or ethnic background?,Hispanic
26,1a,Your school’s name ,John J. Duggan Academy
26,1b,Your grade level,8
26,2a,I believe in myself.,10
26,2b,I feel it is important to take good care of the environment.,10
26,2c,"Humans are a part of nature, not separate from it.",9
26,2d,I have the power to protect the environment.,na
26,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
26,2f,I can make a difference in my community.,8
26,3a,Science.,7
26,3b,How to research things I am curious about.,8
26,3c,Learning about new subjects in school.,9
26,3d,Learning more about nature.,9
26,4a,Solving problems,5
26,4b,Using science to answer a question,7
26,4c,Listening to other people’s points of view,7
26,4d,Knowing how to do research,6
26,5a,Help to protect the environment.,9
26,5b,Spend more time outside.,9
26,5c,Make a positive difference in my community.,8
26,5d,Listen more to other people's points of view.,7
26,5e,Talk with others about ways to protect the environment.,8
26,5f,Cooperate more with my classmates.,8
26,5g,Work harder in school.,10
26,5h,Pay more attention in class.,10
26,6,Are you a girl or a boy?,Girl
26,7,Which of the following best describes your racial or ethnic background?,Hispanic
27,1a,Your school’s name ,John J. Duggan Academy
27,1b,Your grade level,8
27,2a,I believe in myself.,4
27,2b,I feel it is important to take good care of the environment.,10
27,2c,"Humans are a part of nature, not separate from it.",10
27,2d,I have the power to protect the environment.,8
27,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,4
27,2f,I can make a difference in my community.,7
27,3a,Science.,5
27,3b,How to research things I am curious about.,3
27,3c,Learning about new subjects in school.,3
27,3d,Learning more about nature.,5
27,4a,Solving problems,4
27,4b,Using science to answer a question,3
27,4c,Listening to other people’s points of view,8
27,4d,Knowing how to do research,4
27,5a,Help to protect the environment.,7
27,5b,Spend more time outside.,3
27,5c,Make a positive difference in my community.,7
27,5d,Listen more to other people's points of view.,9
27,5e,Talk with others about ways to protect the environment.,7
27,5f,Cooperate more with my classmates.,3
27,5g,Work harder in school.,9
27,5h,Pay more attention in class.,9
27,6,Are you a girl or a boy?,Girl
27,7,Which of the following best describes your racial or ethnic background?,Hispanic
28,1a,Your school’s name ,John J. Duggan Academy
28,1b,Your grade level,8
28,2a,I believe in myself.,8
28,2b,I feel it is important to take good care of the environment.,8
28,2c,"Humans are a part of nature, not separate from it.",7
28,2d,I have the power to protect the environment.,8
28,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
28,2f,I can make a difference in my community.,9
28,3a,Science.,5
28,3b,How to research things I am curious about.,na
28,3c,Learning about new subjects in school.,na
28,3d,Learning more about nature.,6
28,4a,Solving problems,6
28,4b,Using science to answer a question,5
28,4c,Listening to other people’s points of view,7
28,4d,Knowing how to do research,6
28,5a,Help to protect the environment.,5
28,5b,Spend more time outside.,8
28,5c,Make a positive difference in my community.,7
28,5d,Listen more to other people's points of view.,7
28,5e,Talk with others about ways to protect the environment.,7
28,5f,Cooperate more with my classmates.,8
28,5g,Work harder in school.,9
28,5h,Pay more attention in class.,8
28,6,Are you a girl or a boy?,Girl
28,7,Which of the following best describes your racial or ethnic background?,"Black, not of Hispanic descent"
29,1a,Your school’s name ,John J. Duggan Academy
